Sample	posterior	likelihood	prior	treeLikelihood.H3N2	structuredCoalescent.t:H3N2	Ne.Hong_Kong	Ne.New_York	Ne.New_Zealand	b_migration.Hong_Kong_to_New_York	b_migration.Hong_Kong_to_New_Zealand	b_migration.New_York_to_Hong_Kong	b_migration.New_York_to_New_Zealand	b_migration.New_Zealand_to_Hong_Kong	b_migration.New_Zealand_to_New_York	clockRate.c:H3N2	kappa.s:H3N2	gammaShape.s:H3N2
112500	-1946.6678713354172	-1910.2379887435395	-36.429882591877735	-1910.2379887435395	-34.81117155174502	0.788976	3.367475	0.458716	0.009822	0.022001	0.804159	0.400642	0.718287	1.174934	0.004982793122762791	4.315043050297402	0.06944704345920251
115000	-1936.6092364701608	-1907.0847962556832	-29.52444021447764	-1907.0847962556832	-28.595294645950553	0.436754	2.201411	0.315515	0.299848	0.316143	1.265035	0.063247	0.363616	0.927568	0.005076640322677636	4.315043050297402	0.1351137466274653
117500	-1949.2287440996072	-1908.8409298271752	-40.387814272432045	-1908.8409298271752	-37.23336138240446	1.383249	1.616222	0.445407	2.084307	0.289502	1.880767	0.148599	0.616991	0.190813	0.005059956598208547	4.315043050297402	0.1351137466274653
120000	-1945.5157308393823	-1907.0858994752398	-38.429831364142416	-1907.0858994752398	-35.02400579518111	0.433094	1.223729	0.904145	2.321808	0.302115	1.475475	0.242279	0.628157	0.363003	0.004903486815140859	7.153274948158226	0.09268872373946879
122500	-1946.0454485421822	-1908.8233962393256	-37.22205230285654	-1908.8233962393256	-31.474621789983416	0.234469	1.020778	0.764688	0.871256	1.200975	1.967370	0.545837	0.700943	0.739941	0.004779815299824712	5.647501163658424	0.39731448870975267
125000	-1937.6381222132047	-1906.647191254878	-30.99093095832668	-1906.647191254878	-27.912042480388074	0.337587	1.195747	0.869632	1.583461	0.383608	2.821616	0.086569	0.214494	0.453919	0.004965478003909386	5.647501163658424	0.39731448870975267
127500	-1941.9321890691763	-1907.520661363587	-34.41152770558944	-1907.520661363587	-26.840725758819897	3.156948	0.335628	1.920408	4.527646	0.677198	0.876610	0.070246	0.431646	0.597145	0.005055478316779821	5.745169334272618	0.5212986754209001
130000	-1945.0253537623619	-1905.744594008339	-39.28075975402294	-1905.744594008339	-33.05635758445728	0.714850	0.729464	0.348548	4.942921	0.368305	0.706204	0.984852	1.747426	0.803419	0.0049981924294709035	5.745169334272618	0.17961863222087712
132500	-1944.0782009476397	-1902.3764467645797	-41.70175418305999	-1902.3764467645797	-36.01819354470342	1.970586	0.768934	0.357619	1.582438	1.435635	0.995608	1.992846	0.898194	0.058345	0.005113878126597335	6.342103828785626	0.2071259168814617
135000	-1945.1623688803477	-1904.2530013664334	-40.90936751391429	-1904.2530013664334	-35.37503477504853	0.652704	2.298095	0.268164	1.581409	0.190410	2.367898	0.591095	0.353820	0.818597	0.005164132478775521	6.342103828785626	0.2071259168814617
137500	-1950.0548852958832	-1907.9655166499056	-42.089368645977515	-1907.9655166499056	-31.5332155629709	1.281814	0.290281	0.146322	3.598151	0.378798	4.977297	0.878510	0.466979	1.508674	0.004865597713757267	6.342103828785626	0.42800292487096675
140000	-1952.2971790040701	-1909.3186996591949	-42.978479344875275	-1909.3186996591949	-36.794411828965764	3.907534	0.647729	0.515835	2.540965	0.380240	2.452714	0.347008	0.283710	0.140743	0.005001614263148038	6.342103828785626	0.8453521987955098
142500	-1943.7120395064148	-1905.704269756953	-38.007769749461886	-1905.704269756953	-33.30800806659375	1.020860	1.666759	0.605231	0.591114	0.018908	2.996755	0.704727	0.971358	0.228317	0.004913666870294247	6.342103828785626	0.8453521987955098
145000	-1937.2264749300853	-1905.03290102377	-32.193573906315315	-1905.03290102377	-32.03412398041673	0.606280	0.671287	0.437961	0.171598	0.037134	0.299171	0.626791	1.392587	0.546961	0.005030727246580598	6.342103828785626	0.5327456934278687
147500	-1946.146185660883	-1909.0574730795188	-37.08871258136434	-1909.0574730795188	-34.51661033516497	0.584479	0.280536	1.857052	0.022867	1.171013	1.794815	0.566247	0.393024	0.737834	0.005001764823334507	5.229940216350467	0.5327456934278687
150000	-1951.9045436904719	-1909.394370463705	-42.51017322676701	-1909.394370463705	-39.28885735299781	0.517567	1.264708	1.202549	0.017774	1.138793	2.258231	0.156948	0.083186	1.060196	0.005123431811751008	4.488598738882505	0.5327456934278687
152500	-1934.5645576095003	-1902.559476824596	-32.00508078490441	-1902.559476824596	-31.84028413850744	1.152942	0.202909	0.434808	0.309655	0.078850	1.602257	0.363845	0.557730	0.156390	0.005024644936087325	4.488598738882505	0.5327456934278687
155000	-1945.4551287721451	-1907.3846692560323	-38.07045951611274	-1907.3846692560323	-35.707931311474944	0.690667	1.338679	0.577797	0.079540	0.139333	0.251174	1.775351	0.997749	1.165129	0.004935913571417762	5.927664580933761	0.5327456934278687
157500	-1944.6849606664848	-1905.409901854965	-39.27505881151978	-1905.409901854965	-35.69945489287037	0.840903	1.035787	0.439392	0.167167	0.107420	3.030597	0.832853	0.601003	1.250523	0.0049147662724695375	5.927664580933761	0.24788140068978406
160000	-1946.056492614824	-1902.516876360015	-43.53961625480914	-1902.516876360015	-33.10427158261861	1.343680	5.040966	0.653692	0.673665	0.085863	3.944924	1.551647	0.494861	2.844571	0.004959974093841332	5.927664580933761	0.24788140068978406
162500	-1947.313786671589	-1908.2804653587586	-39.03332131283033	-1908.2804653587586	-37.69267527745019	0.540337	1.945742	0.515135	0.105369	0.507625	0.731929	0.305651	0.521126	0.506533	0.004886557299034018	5.927664580933761	0.41956760251974
165000	-1944.483015301727	-1909.6400936486818	-34.84292165304508	-1909.6400936486818	-33.50950226827521	0.443731	1.530488	0.635736	1.271470	0.265083	0.968207	0.051114	0.148835	0.395586	0.0050976893041719895	5.192432872827428	0.683888151819082
167500	-1947.9162862180356	-1909.5842684260265	-38.33201779200909	-1909.5842684260265	-31.600166733824835	0.521307	5.214395	0.337077	2.187877	0.152576	2.450659	0.084085	1.170760	0.693658	0.004970727865355128	5.192432872827428	0.481055894829419
170000	-1951.64121432355	-1907.7113860327743	-43.92982829077569	-1907.7113860327743	-38.192997756614595	0.760741	3.107118	0.187360	1.350028	0.316068	2.708702	0.166647	0.987106	1.088625	0.005023196944002578	5.028911727191368	0.481055894829419
172500	-1943.6920676053276	-1904.11504598251	-39.577021622817384	-1904.11504598251	-36.09802974192549	0.543339	2.389104	0.218382	0.365037	0.992824	2.765264	0.051664	0.382028	0.885314	0.005002847603463837	5.028911727191368	0.230449382813931
175000	-1955.7558037990132	-1913.5252899850957	-42.230513813917455	-1913.5252899850957	-38.09854782507277	0.895350	1.143717	1.083033	1.101377	0.525879	3.255015	0.018906	0.183581	0.036204	0.004849997038224781	5.028911727191368	0.42033310871390434
177500	-1948.0763346802748	-1912.7876049489885	-35.2887297312863	-1912.7876049489885	-34.34187783350292	2.223560	0.546114	0.363312	0.308446	0.035522	0.653835	0.011001	0.996640	0.673968	0.005025951387515959	6.06814858713164	0.42033310871390434
180000	-1937.2090427446292	-1905.2137521985576	-31.995290546071686	-1905.2137521985576	-30.911583413004244	1.308390	0.782784	0.362183	1.991920	0.183208	0.619612	0.022465	0.372825	0.196849	0.005037268100591289	6.06814858713164	0.42033310871390434
182500	-1943.4903963183688	-1903.4558833494527	-40.03451296891602	-1903.4558833494527	-35.889079778607396	0.308223	1.179275	1.035608	2.626907	0.275859	1.177782	0.395943	0.157437	1.169193	0.004914448819563303	7.12205790043426	0.3790403834710312
185000	-1938.5510274362114	-1903.756961379729	-34.7940660564823	-1903.756961379729	-29.514841606682825	0.684059	2.138425	0.378142	0.311344	0.684967	3.712933	0.195907	0.336074	1.204852	0.005083048706156846	7.12205790043426	0.3790403834710312
187500	-1943.6230334804386	-1906.2712334910566	-37.3517999893819	-1906.2712334910566	-32.24515451318257	0.545848	0.808627	0.545771	2.916063	0.879352	0.096041	0.432353	0.871563	1.687221	0.004878774380870476	7.434309690606109	0.5859621018966765
190000	-1950.9957277745746	-1910.822879101101	-40.172848673473574	-1910.822879101101	-34.096336947556225	0.458620	5.410253	0.364393	2.216636	0.459964	1.186826	0.166246	0.467930	1.506022	0.005075862124601179	4.063796830571751	0.5859621018966765
192500	-1959.1147478050832	-1912.9402391488638	-46.17450865621926	-1912.9402391488638	-38.02524759571272	0.511426	5.570885	0.810705	0.288787	0.241592	0.740458	1.573346	2.781968	0.219607	0.00481774157794277	4.063796830571751	1.0222555815561667
195000	-1960.6075902829832	-1913.3639736212112	-47.24361666177195	-1913.3639736212112	-38.261086087828694	0.803179	1.053502	1.676691	0.574997	0.689864	3.579597	0.618679	1.263353	0.422863	0.004745407338440214	4.063796830571751	1.0222555815561667
197500	-1942.267900766681	-1907.9518196872398	-34.31608107944115	-1907.9518196872398	-29.749392242574476	0.735904	1.622404	0.235058	0.394609	0.363631	2.859902	0.723754	0.903727	0.954222	0.005003972656058422	3.8216424690929505	1.4390647531045948
200000	-1942.2329632510202	-1907.8970380753667	-34.33592517565354	-1907.8970380753667	-32.45916699604693	0.357880	0.653621	0.852784	0.681762	0.549197	1.868395	0.702716	0.194767	0.192431	0.004942708088749112	5.627993559535576	0.9996514426940978
202500	-1950.1861415578635	-1904.4209101525998	-45.765231405263584	-1904.4209101525998	-38.67690962668094	0.972282	4.661534	0.753182	0.360852	1.491361	1.910500	0.331693	0.170252	0.912630	0.0049139336095695724	5.627993559535576	1.5827897875021433
205000	-1950.3424963586633	-1912.2009748145838	-38.141521544079595	-1912.2009748145838	-31.655448954843024	0.695577	4.026494	0.487932	0.213776	1.027596	2.972616	0.293450	0.076865	0.995000	0.005065348110418128	5.627993559535576	1.5827897875021433
207500	-1953.7681336059266	-1906.6761703017855	-47.091963304141046	-1906.6761703017855	-34.829282288456746	0.362570	9.450188	0.472062	1.238171	1.610156	5.396414	0.757389	0.162974	0.439328	0.005072452895711707	5.627993559535576	1.0914843807523447
210000	-1950.4622328759433	-1902.4645179927436	-47.99771488319975	-1902.4645179927436	-35.64549596356136	0.758086	3.770386	0.909515	2.051724	0.802597	3.322740	2.735823	1.070788	0.468204	0.005182133120001228	5.627993559535576	0.8580642170821097
212500	-1939.5208016045694	-1905.3740764226686	-34.146725181900905	-1905.3740764226686	-27.39176657398888	0.752325	1.699962	0.449766	0.193090	0.807573	3.370938	1.489572	1.027589	1.035872	0.005096355723819705	5.844671980041566	0.8580642170821097
215000	-1943.8531790233146	-1905.760942437711	-38.0922365856037	-1905.760942437711	-35.24797875331031	0.882952	0.912481	0.362060	1.730952	0.143781	1.612424	0.006581	0.853062	0.393551	0.004903853576037782	8.209448260545674	0.24199007741837955
217500	-1954.0764963007273	-1907.4691290039475	-46.60736729677981	-1907.4691290039475	-39.054882798935104	2.059653	2.702466	0.777290	0.224925	0.053604	3.604250	0.014654	1.780156	0.805589	0.004898424823503884	8.209448260545674	0.19801060857422947
220000	-1949.05596579435	-1911.6249098322046	-37.431055962145265	-1911.6249098322046	-32.880351519066004	0.508092	6.200160	0.410809	0.687757	0.808831	1.638035	0.061384	0.351468	0.264767	0.005056274559442926	6.1039242435964844	0.40695607696356517
222500	-1944.497781925415	-1906.8390089306718	-37.65877299474313	-1906.8390089306718	-33.75895114110686	0.324060	1.087964	0.907980	1.991740	0.228522	2.446842	0.444726	0.596108	0.241180	0.004922901273787121	6.583743364284295	0.40695607696356517
225000	-1947.9773505439946	-1901.6158755567924	-46.36147498720227	-1901.6158755567924	-38.07260225556683	0.817507	2.956360	0.251387	2.351986	1.475967	1.131837	0.851321	1.729683	1.564117	0.0049345655534257585	6.5846355200015445	0.164423252408457
227500	-1953.842001036951	-1907.9016385280477	-45.94036250890337	-1907.9016385280477	-37.534988192505146	2.206880	3.787540	0.222477	3.646205	0.694119	0.373820	2.514680	0.923604	0.059628	0.005065872174692355	3.396748912487525	0.18036023940675572
230000	-1947.8167499623507	-1907.5280270318221	-40.28872293052864	-1907.5280270318221	-33.122731006943184	2.459850	0.981918	0.141927	3.439174	0.313135	2.058737	0.035396	0.797082	0.878577	0.004916020788844515	7.133742537260775	0.18036023940675572
232500	-1948.2146161740486	-1910.5135275399223	-37.701088634126265	-1910.5135275399223	-31.301430963455413	0.121544	1.429029	0.899434	4.500553	1.173478	1.496313	0.168231	0.559450	0.194622	0.005054996827542049	5.084567923518123	0.36298914376429575
235000	-1941.4665640862286	-1906.898023577622	-34.56854050860636	-1906.898023577622	-29.803440432247434	0.958626	0.664808	0.287953	2.944728	0.295334	2.333619	0.358123	1.132704	0.485330	0.005030413592902441	5.084567923518123	0.6461010450160822
237500	-1944.292956396777	-1906.7652413030924	-37.52771509368465	-1906.7652413030924	-36.24789739646079	0.566838	1.452198	1.009291	1.194155	0.117491	0.681875	0.447968	0.097482	0.993892	0.004951634592011241	4.567290410444513	0.37199702900524906
240000	-1952.3559742921366	-1907.7903426286273	-44.56563166350922	-1907.7903426286273	-35.685316491641245	0.239530	18.975921	0.847939	0.842919	0.035714	1.342203	0.155425	0.023075	1.653784	0.0049990432845272575	7.31794799130789	0.20047203332157776
242500	-1944.8741448401265	-1907.8764490266751	-36.997695813451394	-1907.8764490266751	-34.352943921001604	0.445060	2.425975	0.386114	1.062018	0.231767	0.554464	0.514465	0.256540	1.282826	0.0050620770643701185	7.31794799130789	0.340081046085287
245000	-1941.5662863859181	-1908.3022625223734	-33.2640238635448	-1908.3022625223734	-31.009275186580243	0.375181	2.037264	0.604114	1.442605	0.204421	1.487801	0.205249	0.682935	0.755817	0.005055009100913969	3.0277212352784924	0.5175898507046394
247500	-1941.283552834377	-1908.5562841978071	-32.72726863656978	-1908.5562841978071	-30.371104879053206	0.388106	2.390241	0.987488	0.458642	0.063838	0.690564	0.041588	0.385638	1.307668	0.00507835138036587	7.017392980868047	0.5175898507046394
250000	-1945.5449605496192	-1904.8896800498273	-40.65528049979194	-1904.8896800498273	-38.25246444186264	1.071415	0.730482	1.199040	0.347118	0.545875	1.033469	0.462169	1.388314	0.299521	0.0049772380718406456	7.017392980868047	0.4521155397805025
252500	-1960.285425743925	-1919.1835688419333	-41.10185690199193	-1919.1835688419333	-35.23906974733484	1.059045	2.302705	0.468601	0.163965	2.040025	0.061446	0.965687	0.936060	1.194465	0.004845197582809162	7.017392980868047	0.6890112597309521
255000	-1936.9203696568138	-1898.6226356665547	-38.29773399025897	-1898.6226356665547	-34.3289731382263	0.157138	2.799928	0.325327	0.108306	0.820925	0.868874	0.696950	0.211222	1.752279	0.004968850307748944	7.017392980868047	0.6890112597309521
257500	-1942.1484962477095	-1912.3127740893856	-29.835722158323858	-1912.3127740893856	-26.927836585633074	0.430162	0.787661	0.505690	0.266284	0.587086	2.495259	0.650495	0.886289	0.057658	0.004890519804075978	8.204829277636449	0.4101233038030136
260000	-1943.2858422692093	-1906.4603462293549	-36.825496039854514	-1906.4603462293549	-29.561896817329696	0.275247	5.977652	0.409248	1.176307	0.747249	2.456946	1.022012	0.264202	0.026643	0.005111629965453402	8.204829277636449	0.4101233038030136
